chrom	start	end	width	strand	fc	negLog10pval	gene_id	gene_name	mRNA_start	mRNA_end
chr1	44651662	44651679	17	+	4.6009466387591	8.22110442801254	NM_001319956	RNF220	3072	3089
chr1	44650850	44650924	74	+	4.53376200224621	60.7844946217682	NM_001319956	RNF220	2260	2334
chr1	44636029	44636088	59	+	5.21394847620352	8.75522898004401	NM_001319956	RNF220	1477	1536
chr1	44651169	44651227	58	+	5.83182053032115	34.1642864780771	NM_001319956	RNF220	2579	2637
chr1	44651099	44651169	70	+	5.25059893785917	23.4980691878851	NM_001319956	RNF220	2509	2579
chr21	36376271	36376367	96	+	4.08523515310298	15.5861472399571	NM_001320446	MORC3	3957	4053
chr21	36375540	36375560	20	+	7.14812125217689	47.6308307296675	NM_001320446	MORC3	3226	3246
chr21	36375560	36375607	47	+	5.75176146433229	400	NM_001320446	MORC3	3246	3293
chr21	36375607	36375651	44	+	4.08121313533378	23.4557706762208	NM_001320446	MORC3	3293	3337
chr21	36375651	36375701	50	+	3.74526610743991	19.7314454282347	NM_001320446	MORC3	3337	3387
chr21	36375516	36375540	24	+	4.95619333016161	10.1690762776291	NM_001320446	MORC3	3202	3226
chr21	36376401	36376460	59	+	4.12693377631599	14.4581837059561	NM_001320446	MORC3	4087	4146
chr21	36375329	36375363	34	+	5.17126552599613	18.9642501626803	NM_001320446	MORC3	3015	3049
chr5	143279716	143279761	45	-	3.98629072112099	8.62604565396829	NM_001364183	NR3C1	4854	4899
chr5	143280498	143280526	28	-	4.42251569626073	7.6285464337866	NM_001364183	NR3C1	4089	4117
chr5	143280225	143280277	52	-	5.00904805074716	17.9853459173225	NM_001364183	NR3C1	4338	4390
chr5	143280153	143280204	51	-	3.76205363041033	12.1422876620535	NM_001364183	NR3C1	4411	4462
chr5	143281053	143281109	56	-	3.96109232066418	13.7228542039098	NM_001364183	NR3C1	3506	3562
chr5	143281407	143281498	91	-	4.36327763398577	21.722642955953	NM_001364183	NR3C1	3117	3208
chr5	143278323	143278373	50	-	4.24726707271866	4.29448796922481	NM_001364183	NR3C1	6242	6292
chr5	143278281	143278303	22	-	3.73590703446862	3.10167606808685	NM_001364183	NR3C1	6312	6334
chr5	143278076	143278117	41	-	4.90823112016234	5.95265347020155	NM_001364183	NR3C1	6498	6539
chr9	89316468	89316506	38	+	7.34021060570647	400	NM_001827	CKS2	381	419
chr9	89316506	89316549	43	+	7.13246899194147	400	NM_001827	CKS2	419	462
chr6	37174820	37174902	82	+	3.4160168642592	85.6477016854656	NM_002648	PIM1	2095	2177
chr6	37175247	37175256	9	+	5.48936683461178	400	NM_002648	PIM1	2522	2531
chr6	37175239	37175247	8	+	5.37444315408566	400	NM_002648	PIM1	2514	2522
chr6	37175230	37175239	9	+	4.70356880149358	400	NM_002648	PIM1	2505	2514
chr6	37175256	37175265	9	+	4.5795783409359	400	NM_002648	PIM1	2531	2540
chr6	37175348	37175391	43	+	4.48436675382699	400	NM_002648	PIM1	2623	2666
chr6	37175210	37175230	20	+	4.3254585986258	400	NM_002648	PIM1	2485	2505
chr6	37175185	37175210	25	+	4.1356346587905	400	NM_002648	PIM1	2460	2485
chr6	37175265	37175289	24	+	3.87551885643519	70.8126485177765	NM_002648	PIM1	2540	2564
chr6	37175163	37175185	22	+	3.49049165735655	51.6829191139268	NM_002648	PIM1	2438	2460
chr6	37175289	37175306	17	+	3.33546348996709	47.3010647406123	NM_002648	PIM1	2564	2581
chr6	37175109	37175163	54	+	3.08276003545957	44.384460250691	NM_002648	PIM1	2384	2438
chr18	9956568	9956625	57	+	3.06398106774756	7.18558591222774	NM_003574	VAPA	3483	3540
chr18	9955884	9955930	46	+	4.52005360073618	57.6635402661515	NM_003574	VAPA	2799	2845
chr18	9954545	9954559	14	+	3.94227070376444	29.9367417200495	NM_003574	VAPA	1460	1474
chr18	9954516	9954545	29	+	3.66121173927185	45.3174758714577	NM_003574	VAPA	1431	1460
chr18	9954367	9954409	42	+	4.99798880787335	400	NM_003574	VAPA	1282	1324
chr18	9954409	9954466	57	+	4.95655575841163	400	NM_003574	VAPA	1324	1381
chr18	9954317	9954367	50	+	3.93935303874537	79.3026921773771	NM_003574	VAPA	1232	1282
chr18	9954672	9954738	66	+	3.96167037912381	400	NM_003574	VAPA	1587	1653
chr18	9954559	9954604	45	+	3.39345680078562	46.5560489468204	NM_003574	VAPA	1474	1519
chr18	9954604	9954672	68	+	3.17380102076985	400	NM_003574	VAPA	1519	1587
chr10	123165309	123165356	47	+	7.08499359005319	400	NM_004725	BUB3	2545	2592
chr10	123165278	123165309	31	+	4.96473560107694	77.9242341217843	NM_004725	BUB3	2514	2545
chr10	123165248	123165278	30	+	4.05634651310482	74.2959868311948	NM_004725	BUB3	2484	2514
chr10	123165199	123165248	49	+	3.90503944499807	400	NM_004725	BUB3	2435	2484
chr10	123164141	123164221	80	+	4.26158884462078	78.4963318624543	NM_004725	BUB3	1377	1457
chr10	123164098	123164141	43	+	4.18115430538973	37.714802877189	NM_004725	BUB3	1334	1377
chr10	123162611	123162622	11	+	3.96873882064303	7.43561472036849	NM_004725	BUB3	838	849
chr10	123162622	123162710	88	+	3.71894528303981	48.3112154526298	NM_004725	BUB3	849	937
chr5	10433981	10434031	50	+	4.47264359306521	44.2780328362479	NM_005885	MARCHF6	3234	3284
chr5	10433847	10433902	55	+	7.27278480491916	400	NM_005885	MARCHF6	3100	3155
chr5	10433902	10433956	54	+	7.23093808950894	400	NM_005885	MARCHF6	3155	3209
chr5	10433803	10433847	44	+	4.36226987544182	63.6395959452701	NM_005885	MARCHF6	3056	3100
chr5	10433746	10433760	14	+	3.59821233503404	37.2715975147865	NM_005885	MARCHF6	2999	3013
chr5	10434317	10434358	41	+	4.76454272782461	49.328632740592	NM_005885	MARCHF6	3570	3611
chr5	10437758	10437818	60	+	4.32193325931435	47.7519040689059	NM_005885	MARCHF6	7011	7071
chr5	10437719	10437756	37	+	3.4054282120323	15.5319482085458	NM_005885	MARCHF6	6972	7009
chr12	49127785	49127820	35	-	6.74775159818109	400	NM_006082	TUBA1B	1588	1623
chr12	49127820	49127828	8	-	6.2612479874695	400	NM_006082	TUBA1B	1580	1588
chr12	49127828	49127865	37	-	5.50117882770761	400	NM_006082	TUBA1B	1543	1580
chr8	47779056	47779093	37	-	4.36167641796661	16.6828665907622	NM_006904	PRKDC	11546	11583
chr8	47789150	47789183	33	-	3.83421402454129	13.7228542039098	NM_006904	PRKDC	10782	10815
chr8	47826662	47826713	51	-	3.72694608046999	6.51242867762639	NM_006904	PRKDC	8782	8833
chr8	47782161	47782177	16	-	3.44077863427329	9.76063819720343	NM_006904	PRKDC	11530	11546
chr8	47773225	47773267	42	-	3.98379089029428	78.0103989175686	NM_006904	PRKDC	13349	13391
chr8	47773267	47773291	24	-	3.78977007007089	70.0227383639349	NM_006904	PRKDC	13325	13349
chr8	47840015	47840045	30	-	3.74128075188562	12.8867828603866	NM_006904	PRKDC	7481	7511
chr8	47788977	47789049	72	-	5.99412037748397	400	NM_006904	PRKDC	10815	10887
chr8	47788928	47788977	49	-	4.58435230643382	13.7576076686243	NM_006904	PRKDC	10887	10936
chr8	47852702	47852746	44	-	3.89202038131616	7.34338191461043	NM_006904	PRKDC	6988	7032
chr6	30626295	30626357	62	+	7.32269603398809	75.1248412918595	NM_014046	MRPS18B	1301	1363
chr6	30626258	30626295	37	+	5.17586880847275	27.8039576347661	NM_014046	MRPS18B	1264	1301
chr2	20250038	20250073	35	-	4.93140304712472	38.0225507726177	NM_015317	PUM2	4972	5007
chr2	20250392	20250420	28	-	7.07365371497405	400	NM_015317	PUM2	4625	4653
chr2	20250318	20250392	74	-	6.70264672630715	400	NM_015317	PUM2	4653	4727
chr2	20251399	20251422	23	-	4.7282330523019	23.6399163390316	NM_015317	PUM2	3623	3646
chr2	20250527	20250573	46	-	6.18471071185571	74.9463838255956	NM_015317	PUM2	4472	4518
chr2	20250420	20250505	85	-	7.2074435004262	400	NM_015317	PUM2	4540	4625
chr2	20250132	20250176	44	-	5.40913224147933	71.3567052775006	NM_015317	PUM2	4869	4913
chr2	20250176	20250255	79	-	4.92794430053161	400	NM_015317	PUM2	4790	4869
chr2	20249840	20249864	24	-	5.77901854387174	32.9084519182147	NM_015317	PUM2	5181	5205
chr2	20251098	20251131	33	-	4.79013200973161	49.9978339382435	NM_015317	PUM2	3914	3947
chr2	20249908	20249942	34	-	5.69256982872917	50.279741440627	NM_015317	PUM2	5103	5137
chr2	20250885	20250935	50	-	6.30500568142863	400	NM_015317	PUM2	4110	4160
chr2	20248775	20248809	34	-	5.48715720473322	17.4398083655427	NM_015317	PUM2	6236	6270
chrX	103358269	103358332	63	+	7.55093222959347	21.4597392417895	NM_016303	TCEAL9	835	898
chr1	181090654	181090705	51	+	6.9635706446209	400	NM_016545	IER5	1955	2006
chr1	181090705	181090823	118	+	6.75658007252335	400	NM_016545	IER5	2006	2124
chr5	146288957	146289019	62	+	5.58841325843408	55.0912791321214	NM_018989	RBM27	6271	6333
chr5	146288895	146288957	62	+	5.0689566661919	42.9885141400006	NM_018989	RBM27	6209	6271
chr5	146286542	146286585	43	+	3.17001209819085	8.31639468468653	NM_018989	RBM27	3856	3899
chr5	146286304	146286357	53	+	5.19878620777512	17.6948768025837	NM_018989	RBM27	3618	3671
chr5	146288070	146288108	38	+	5.09139222728525	17.3035911845139	NM_018989	RBM27	5384	5422
chr5	146288138	146288219	81	+	4.17196962319254	26.1647217284082	NM_018989	RBM27	5452	5533
chr5	146287902	146287935	33	+	4.33222957343982	10.4840860388644	NM_018989	RBM27	5216	5249
chr5	146287983	146288044	61	+	5.70868314245743	12.9386975895492	NM_018989	RBM27	5297	5358
chr5	146286474	146286507	33	+	4.31929025752702	8.92648840104317	NM_018989	RBM27	3788	3821
chr17	29549061	29549111	50	+	3.39202038131616	9.29490827359713	NM_020791	TAOK1	9239	9289
chr17	29550519	29550555	36	+	5.53219487688413	8.43829448450297	NM_020791	TAOK1	10697	10733
chr17	29550555	29550603	48	+	5.01942733083057	18.9067667834934	NM_020791	TAOK1	10733	10781
chr17	29548692	29548753	61	+	7.81061930914025	18.4697514944518	NM_020791	TAOK1	8870	8931
chr17	29548753	29548822	69	+	4.93053656351249	29.5934412560026	NM_020791	TAOK1	8931	9000
chr17	29546707	29546768	61	+	3.53974832307924	4.64947113824836	NM_020791	TAOK1	6885	6946
chr17	29550757	29550782	25	+	4.68450163167673	6.71677749430578	NM_020791	TAOK1	10935	10960
chr17	29551653	29551694	41	+	4.76946413239788	8.22110442801254	NM_020791	TAOK1	11831	11872
chr17	29551833	29551874	41	+	4.70071237052292	4.73447490042639	NM_020791	TAOK1	12011	12052
chr17	29551711	29551738	27	+	3.82326861944119	6.51242867762639	NM_020791	TAOK1	11889	11916
chr17	29544650	29544697	47	+	6.08347974370441	15.1531178254742	NM_020791	TAOK1	4828	4875
chr7	26192335	26192338	3	-	5.69406476186881	400	NM_031243	HNRNPA2B1	1252	1255
chr7	26192322	26192329	7	-	5.71402784597741	400	NM_031243	HNRNPA2B1	1261	1268
chr7	26192329	26192332	3	-	5.6672275183844	400	NM_031243	HNRNPA2B1	1258	1261
chr7	26192332	26192335	3	-	5.62363189163457	400	NM_031243	HNRNPA2B1	1255	1258
chr7	26191862	26191913	51	-	4.71536148436179	400	NM_031243	HNRNPA2B1	1677	1728
chr7	26192313	26192322	9	-	5.56977201491421	400	NM_031243	HNRNPA2B1	1268	1277
chr7	26192267	26192313	46	-	5.37198602803937	400	NM_031243	HNRNPA2B1	1277	1323
chr7	26192494	26192506	12	-	5.89512319336332	400	NM_031243	HNRNPA2B1	1240	1252
chr7	26192506	26192529	23	-	4.26356702652019	400	NM_031243	HNRNPA2B1	1217	1240
chr5	97034025	97034066	41	+	5.63162390123391	23.9797630560892	NM_175920	LNPEP	8895	8936
chr5	97032313	97032360	47	+	5.67314159342669	72.1894583421165	NM_175920	LNPEP	7183	7230
chr5	97032734	97032774	40	+	5.04870927707787	35.0175930711362	NM_175920	LNPEP	7604	7644
chr5	97032532	97032585	53	+	5.15300258798358	26.1955538745422	NM_175920	LNPEP	7402	7455
chr5	97033595	97033612	17	+	4.4579989569378	10.4840860388644	NM_175920	LNPEP	8465	8482
chr5	97033943	97033985	42	+	4.63951906418344	16.7142177262206	NM_175920	LNPEP	8813	8855
chr5	97035182	97035233	51	+	4.80500568142863	35.4181185786418	NM_175920	LNPEP	10052	10103
chr5	97037025	97037063	38	+	4.4253389778313	8.27455090897734	NM_175920	LNPEP	11895	11933
chr5	97034422	97034463	41	+	4.16140232357414	20.5017308095593	NM_175920	LNPEP	9292	9333
chr5	97035258	97035298	40	+	5.74656228759133	19.2332087230838	NM_175920	LNPEP	10128	10168
chr5	97033084	97033115	31	+	7.05000683174949	56.5141833514101	NM_175920	LNPEP	7954	7985
chr5	97033066	97033084	18	+	6.86527416866871	49.1084760898506	NM_175920	LNPEP	7936	7954
chr5	97026751	97026757	6	+	6.20669869135596	7.38197136848885	NM_175920	LNPEP	3183	3189
chr5	97034176	97034220	44	+	4.58261326009218	38.2115346560165	NM_175920	LNPEP	9046	9090
chr5	97035484	97035506	22	+	5.0283882848292	10.1690762776291	NM_175920	LNPEP	10354	10376
chr5	97032910	97032940	30	+	4.90597337960109	21.1457668529005	NM_175920	LNPEP	7780	7810
chr5	97027732	97027755	23	+	6.25845097923289	6.65669817106855	NM_175920	LNPEP	3189	3212
chr5	97032861	97032910	49	+	5.90231840246395	47.2136745656099	NM_175920	LNPEP	7731	7780
chr5	97034238	97034279	41	+	5.5974869317892	45.1728440489403	NM_175920	LNPEP	9108	9149
chr5	97034493	97034558	65	+	4.86875544946493	27.5255797528708	NM_175920	LNPEP	9363	9428
chr5	97034748	97034814	66	+	5.6085000849542	50.0331264524107	NM_175920	LNPEP	9618	9684
chr5	97033799	97033835	36	+	5.47831994918647	33.0018802163596	NM_175920	LNPEP	8669	8705
chr5	97035012	97035077	65	+	5.96463266172315	68.4452201961962	NM_175920	LNPEP	9882	9947
chr5	97034999	97035012	13	+	5.17348847851173	20.0021507314319	NM_175920	LNPEP	9869	9882
chr10	13210955	13211064	109	+	8.0100274772662	21.0729988928697	NM_182751	MCM10	4397	4506
chr20	36047651	36047681	30	-	5.63816368054045	400	NR_027451	NORAD	3279	3309
chr20	36047619	36047651	32	-	5.59225660153418	400	NR_027451	NORAD	3309	3341
chr20	36047681	36047690	9	-	5.15535558864751	70.9329663601577	NR_027451	NORAD	3270	3279
chr20	36047979	36048006	27	-	6.34847593350625	400	NR_027451	NORAD	2954	2981
chr20	36048006	36048026	20	-	5.83093902877942	400	NR_027451	NORAD	2934	2954
chr20	36048275	36048310	35	-	6.79981108751289	400	NR_027451	NORAD	2650	2685
chr20	36048261	36048275	14	-	6.24093124906364	400	NR_027451	NORAD	2685	2699
chr20	36048310	36048335	25	-	6.05610124062053	400	NR_027451	NORAD	2625	2650
chr20	36048222	36048225	3	-	6.00272850243301	74.5959021293595	NR_027451	NORAD	2735	2738
chr20	36048250	36048261	11	-	5.59610987597086	400	NR_027451	NORAD	2699	2710
chr20	36049076	36049096	20	-	4.07053929786217	61.5891553086416	NR_027451	NORAD	1864	1884
chr20	36048576	36048593	17	-	4.40638859675841	58.0496351456239	NR_027451	NORAD	2367	2384
chr20	36049479	36049498	19	-	6.64271769794558	400	NR_027451	NORAD	1462	1481
chr20	36047324	36047361	37	-	4.63794692948099	66.2489673741628	NR_027451	NORAD	3599	3636
chr20	36049365	36049388	23	-	7.07637281409456	400	NR_027451	NORAD	1572	1595
chr20	36049337	36049365	28	-	6.11778986122358	400	NR_027451	NORAD	1595	1623
chr20	36049996	36050045	49	-	3.72485523078791	71.9762127202101	NR_027451	NORAD	915	964
chr20	36048830	36048845	15	-	4.67233154559261	70.5232842760739	NR_027451	NORAD	2115	2130
chr20	36049498	36049510	12	-	6.91084455237787	400	NR_027451	NORAD	1450	1462
chr20	36049510	36049530	20	-	6.81422324402667	400	NR_027451	NORAD	1430	1450
chr20	36049530	36049572	42	-	6.46800872781869	400	NR_027451	NORAD	1388	1430
chr20	36049646	36049688	42	-	6.38356900636377	400	NR_027451	NORAD	1272	1314
chr20	36049688	36049701	13	-	5.95059777797873	400	NR_027451	NORAD	1259	1272
chr20	36048335	36048369	34	-	6.01080518714435	400	NR_027451	NORAD	2591	2625
chr20	36048369	36048380	11	-	5.48933010112183	400	NR_027451	NORAD	2580	2591
chr20	36048770	36048817	47	-	5.1861609745508	400	NR_027451	NORAD	2143	2190
chr20	36048752	36048770	18	-	4.95662767367541	400	NR_027451	NORAD	2190	2208
chr20	36048715	36048752	37	-	4.36752540689392	400	NR_027451	NORAD	2208	2245
chr20	36046797	36046841	44	-	4.12059544079731	400	NR_027451	NORAD	4119	4163
